"ID";"LorriesAndRoadTractors";"YearsOfConstruction";"Periods";"TotalKilometresInTheNetherlands_1";"KilometresByDutchVehicles_2";"KilometresByForeignVehicles_3";"TotalKilometresByDutchVehicles_4";"KilometresInTheNetherlands_5";"KilometresAbroad_6";"TotalAverageAnnualKilometres_7";"AverageAnnualKilometresInNetherlands_8";"AverageAnnualKilometresAbroad_9";"DutchGoodsVehiclesInUse_10"
"0";"A018938";"T001378";"2001JJ00";"  6592.1";"  6014.7";"   577.5";"  9869.7";"  6014.7";"  3855.1";"   58913";"   35902";"   23011";"  167530"
"1";"A018938";"T001378";"2002JJ00";"  6600.8";"  5999.6";"   601.1";"  9973.7";"  5999.6";"  3974.1";"   59846";"   36000";"   23846";"  166657"
"2";"A018938";"T001378";"2003JJ00";"  6610.0";"  6025.4";"   584.6";" 10026.9";"  6025.4";"  4001.5";"   61150";"   36746";"   24403";"  163974"
"3";"A018938";"T001378";"2004JJ00";"  6684.5";"  6060.0";"   624.5";" 10070.7";"  6060.0";"  4010.7";"   61637";"   37090";"   24547";"  163387"
"4";"A018938";"T001378";"2005JJ00";"  6797.2";"  6128.7";"   668.5";" 10181.2";"  6128.7";"  4052.5";"   62792";"   37798";"   24994";"  162142"
"5";"A018938";"T001378";"2006JJ00";"  6946.0";"  6198.8";"   747.3";" 10325.4";"  6198.8";"  4126.7";"   61758";"   37076";"   24682";"  167192"
"6";"A018938";"T001378";"2007JJ00";"  7137.9";"  6319.1";"   818.9";" 10544.7";"  6319.1";"  4225.7";"   62303";"   37336";"   24967";"  169249"
"7";"A018938";"T001378";"2008JJ00";"  7313.7";"  6514.7";"   799.0";" 10507.1";"  6514.7";"  3992.5";"   60715";"   37644";"   23070";"  173058"
"8";"A018938";"T001378";"2009JJ00";"  7227.6";"  6468.3";"   759.3";" 10132.5";"  6468.3";"  3664.2";"   59234";"   37813";"   21421";"  171059"
"9";"A018938";"T001378";"2010JJ00";"  7192.9";"  6483.7";"   709.2";"  9801.3";"  6483.7";"  3317.7";"   59093";"   39090";"   20002";"  165864"
"10";"A018938";"T001378";"2011JJ00";"  7113.2";"  6422.6";"   690.6";"  9825.5";"  6422.6";"  3402.9";"   59703";"   39026";"   20677";"  164573"
"11";"A018938";"T001378";"2012JJ00";"  7007.8";"  6323.2";"   684.6";"  9529.8";"  6323.2";"  3206.5";"   58752";"   38984";"   19769";"  162202"
"12";"A018938";"T001378";"2013JJ00";"  6617.4";"  5920.8";"   696.6";"  9299.5";"  5920.8";"  3378.7";"   57910";"   36870";"   21040";"  160585"
"13";"A018938";"T001378";"2014JJ00";"  6620.1";"  5905.7";"   714.4";"  9208.7";"  5905.7";"  3303.0";"   58982";"   37826";"   21156";"  156128"
"14";"A018938";"T001378";"2015JJ00";"  6923.4";"  6166.8";"   756.6";"  9213.4";"  6166.8";"  3046.6";"   58776";"   39340";"   19435";"  156756"
"15";"A018938";"T001378";"2016JJ00";"  7330.9";"  6499.2";"   831.8";"  9362.6";"  6499.2";"  2863.4";"   58847";"   40850";"   17998";"  159099"
"16";"A018938";"T001378";"2017JJ00";"  7436.1";"  6553.6";"   882.5";"  9419.0";"  6553.6";"  2865.4";"   58222";"   40510";"   17712";"  161777"
"17";"A018938";"T001378";"2018JJ00";"  7393.8";"  6495.3";"   898.5";"  9416.7";"  6495.3";"  2921.4";"   56656";"   39079";"   17577";"  166209"
"18";"A018938";"A048264";"2001JJ00";"  5199.2";"  4802.5";"   396.7";"  7450.9";"  4802.5";"  2648.4";"   54868";"   35366";"   19503";"  135796"
"19";"A018938";"A048264";"2002JJ00";"  4278.0";"  3972.9";"   305.2";"  5990.3";"  3972.9";"  2017.4";"   49196";"   32628";"   16568";"  121765"
"20";"A018938";"A048264";"2003JJ00";"  3566.4";"  3340.6";"   225.8";"  4886.2";"  3340.6";"  1545.6";"   45611";"   31183";"   14428";"  107128"
"21";"A018938";"A048264";"2004JJ00";"  2927.2";"  2751.7";"   175.5";"  3879.0";"  2751.7";"  1127.3";"   41251";"   29262";"   11988";"   94035"
"22";"A018938";"A048264";"2005JJ00";"  2381.6";"  2248.5";"   133.1";"  3055.5";"  2248.5";"   807.0";"   37798";"   27815";"    9982";"   80838"
"23";"A018938";"A048264";"2006JJ00";"  1894.3";"  1793.0";"   101.3";"  2352.6";"  1793.0";"   559.6";"   33753";"   25724";"    8029";"   69700"
"24";"A018938";"A048264";"2007JJ00";"  1492.5";"  1422.0";"    70.6";"  1786.1";"  1422.0";"   364.1";"   29564";"   23537";"    6027";"   60414"
"25";"A018938";"A048264";"2008JJ00";"  1193.5";"  1145.8";"    47.8";"  1384.4";"  1145.8";"   238.7";"   26331";"   21791";"    4540";"   52579"
"26";"A018938";"A048264";"2009JJ00";"   817.3";"   788.6";"    28.8";"   927.4";"   788.6";"   138.8";"   20580";"   17499";"    3080";"   45063"
"27";"A018938";"A048264";"2010JJ00";"   574.6";"   558.8";"    15.7";"   632.4";"   558.8";"    73.6";"   16386";"   14479";"    1907";"   38595"
"28";"A018938";"A048264";"2011JJ00";"   432.5";"   417.4";"    15.1";"   492.0";"   417.4";"    74.6";"   14776";"   12535";"    2241";"   33298"
"29";"A018938";"A048264";"2012JJ00";"   318.5";"   306.1";"    12.5";"   364.5";"   306.1";"    58.4";"   12559";"   10546";"    2014";"   29023"
"30";"A018938";"A048264";"2013JJ00";"   231.8";"   220.7";"    11.1";"   274.6";"   220.7";"    53.9";"   10761";"    8648";"    2113";"   25516"
"31";"A018938";"A048264";"2014JJ00";"   177.8";"   167.5";"    10.3";"   215.1";"   167.5";"    47.5";"    9457";"    7367";"    2090";"   22743"
"32";"A018938";"A048264";"2015JJ00";"   144.0";"   136.3";"     7.7";"   167.2";"   136.3";"    31.0";"    8394";"    6839";"    1555";"   19925"
"33";"A018938";"A048264";"2016JJ00";"   120.9";"   113.6";"     7.3";"   138.8";"   113.6";"    25.2";"    7717";"    6317";"    1401";"   17984"
"34";"A018938";"A048264";"2017JJ00";"   102.7";"    97.0";"     5.7";"   115.6";"    97.0";"    18.6";"    6952";"    5833";"    1119";"   16624"
